"subjectID","wave","task","run","volume","trash"
"108p",1,"SST",2,47,1
"108p",1,"SST",2,48,1
"201p",1,"ALERT",1,23,1
"201p",1,"ALERT",1,65,1
"201p",1,"ALERT",1,67,1
"201p",1,"ALERT",1,116,1
"201p",1,"ALERT",1,130,1
"201p",1,"ALERT",1,146,1
"201p",1,"ALERT",1,179,1
"201p",1,"ALERT",2,102,1
"201p",1,"ALERT",2,104,1
"201p",1,"ALERT",2,109,1
"201p",1,"SST",2,15,1
"201p",1,"SST",2,16,1
"201p",1,"SST",2,30,1
"203p",1,"ALERT",1,189,1
"203p",1,"ALERT",1,191,1
"203p",1,"ALERT",2,8,1
"203p",1,"ALERT",2,9,1
"203p",1,"ALERT",2,10,1
"203p",1,"ALERT",2,18,1
"203p",1,"ALERT",2,25,1
"203p",1,"ALERT",2,26,1
"203p",1,"ALERT",2,27,1
"203p",1,"ALERT",2,30,1
"203p",1,"ALERT",2,31,1
"203p",1,"ALERT",2,45,1
"203p",1,"ALERT",2,95,1
"203p",1,"ALERT",2,96,1
"203p",1,"ALERT",2,164,1
"203p",1,"SST",2,183,1
"203p",1,"SST",2,184,1
"219p",1,"ALERT",2,175,1
"219p",1,"ALERT",2,176,1
"219p",1,"ALERT",2,177,1
"219p",1,"ALERT",2,178,1
"219p",1,"SST",2,117,1
"219p",1,"SST",2,118,1
"219p",1,"SST",2,119,1
